,const,density,dz,zenith,algae
797,1.0,800,0.15,80,20000
798,1.0,850,0.15,30,0
799,1.0,850,0.15,30,5000
800,1.0,850,0.15,30,7000
801,1.0,850,0.15,30,11000
802,1.0,850,0.15,30,13000
803,1.0,850,0.15,30,15000
804,1.0,850,0.15,30,20000
805,1.0,850,0.15,40,0
806,1.0,850,0.15,40,5000
807,1.0,850,0.15,40,7000
808,1.0,850,0.15,40,11000
809,1.0,850,0.15,40,13000
810,1.0,850,0.15,40,15000
811,1.0,850,0.15,40,20000
812,1.0,850,0.15,50,0
813,1.0,850,0.15,50,5000
814,1.0,850,0.15,50,7000
815,1.0,850,0.15,50,11000
816,1.0,850,0.15,50,13000
817,1.0,850,0.15,50,15000
818,1.0,850,0.15,50,20000
819,1.0,850,0.15,60,0
820,1.0,850,0.15,60,5000
821,1.0,850,0.15,60,7000
822,1.0,850,0.15,60,11000
823,1.0,850,0.15,60,13000
